UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
r⃟i⃟e⃟n⃟d⃟.⃟,@oldghos1,2022-08-26T14:33:18.000Z,"r⃟i⃟e⃟n⃟d⃟.⃟
@oldghos1
·
Aug 26, 2022",https://pic.twitter.com/LpqJCHBQ2i Neil Simpson wins Great Britain’s first gold of 2022 Beijing Winter Paralympics https://bit.ly/3e2szNb,,,,,[],https://twitter.com/oldghos1/status/1563172741250830336
Andy Vermaut,@AndyVermaut,2022-08-26T05:21:13.000Z,"Andy Vermaut
@AndyVermaut
·
Aug 26, 2022","Andy Vermaut shares:Tokyo Olympic bribery scandal puts spotlight on money’s influence: The scandal is also being watched closely in Sapporo, which is bidding to host the 2030 Winter Olympics and Paralympics. https://japantimes.co.jp/news/2022/08/26/national/crime-legal/tokyo-olympics-scandal-explainer/?utm_source=dlvr.it&utm_medium=twitter… Thank you.
1
1",,,1,1,['https://pbs.twimg.com/media/FbEC9jiaIAMsPJe?format=jpg&name=900x900'],https://twitter.com/AndyVermaut/status/1563033804553723904
Alex Seftel,@seftelevision,2022-08-28T10:10:43.000Z,"Alex Seftel
@seftelevision
·
Aug 28, 2022","Brilliant to have Paralympic triathlon champion 
@LaurenSteadman
 inspiring people at #OundleTriathlon today  

Lauren says she’s looking to compete in cross-country skiing  at the 2026 Winter Paralympics, with triathlon becoming her second sport.
@eventsatw
3",🎙 🚲 ⛷,,,3,"['https://pbs.twimg.com/media/FbPYY8LX0AU4ZaI?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FbPYY8GXoAAsZnE?format=jpg&name=900x900']",https://twitter.com/seftelevision/status/1563831435299004416
NBC Olympics,@NBCOlympics,2022-08-29T18:40:28.000Z,"NBC Olympics
@NBCOlympics
·
Aug 30, 2022","One year ago today, 
@TeamUSA
's 
@Kendall_Gretsch
 took triathlon gold in a thrilling finish at the Tokyo 
@Paralympics
. 

6 months later at the 2022 Winter Paralympics, she won gold in biathlon. 
@usatriathlon
 | 
@USParaNordic
The media could not be played.
3
17
67",🥇 🥇,3,17,67,[],https://twitter.com/NBCOlympics/status/1564322107827396609
People with Disabilities China,@PWD_China,2022-08-30T08:53:07.000Z,"People with Disabilities China
@PWD_China
·
Aug 30, 2022","On Aug 27, Dong Xiyuan, a well-known traditional Chinese painter, donated his calligraphy and painting artworks to four athlete representatives that participated in 2020 Tokyo #Paralympics and 2022 #Beijing #WinterParalympics.",🎨 👏 💜,,,,['https://pbs.twimg.com/media/FbZZt1TaAAA5b4k?format=jpg&name=900x900'],https://twitter.com/PWD_China/status/1564536681482833920
Touch Beijing,@touch_beijing,2022-09-04T11:42:00.000Z,"Touch Beijing
@touch_beijing
·
Sep 4, 2022","Bing Dwen Dwen and Shuey Rhon Rhon, mascots of the #Beijing2022 Winter Olympics and the Winter Paralympics, are an important part of the cultural legacy of the games, and their first naked-eye #3D video was released on September 3rd in Big Air Shougang.",,,,,['https://pbs.twimg.com/media/FbzwasTWIAAaQeZ?format=jpg&name=medium'],https://twitter.com/touch_beijing/status/1566391124553601026
Australian Disability,@ausdisau,2022-09-04T18:53:34.000Z,"Australian Disability
@ausdisau
·
Sep 5, 2022
Automated","Canada vs Switzerland | Wheelchair Curling Round Robin | Day 1 | Beijing 2022 Winter Paralympics
The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ausdisau/status/1566499729978306561
USABA,@USABA,2022-09-07T15:39:16.000Z,"USABA
@USABA
·
Sep 7, 2022","Paris 2024 Paralympic Games Fact:
While 
@Paris2024
 will mark the third time the French capital is hosting the Summer Olympics, it will be its first time hosting a Summer 
@Paralympics
. France previously hosted the Winter Paralympics in 1992 in Albertville.
ALT
1
4
12",,1,4,12,['https://pbs.twimg.com/media/FcEDD_QacAIlsQ1?format=jpg&name=medium'],https://twitter.com/USABA/status/1567537995850592256
TokyoTourist,@japanideas,2022-09-07T08:09:52.000Z,"TokyoTourist
@japanideas
·
Sep 7, 2022","Expansive Tokyo 2020 Olympics and Paralympics Games bribery scandals appear to be casting shadow over Hokkaido Sapporos bid to host the 2030 Winter Olympics in #Japan
1
1",,,1,1,[],https://twitter.com/japanideas/status/1567424900608184320
Reuters Sports,@ReutersSports,2022-09-08T07:15:07.000Z,"Reuters Sports
@ReutersSports
·
Sep 8, 2022","The New Zealand government will pour NZ$20 million ($12 million) into winter sports funding for the 2026 Olympics and Paralympics in Milan after its most successful Games at Beijing.
reuters.com
New Zealand boosts winter sports funding after Beijing success
The New Zealand government will pour NZ$20 million ($12 million) into winter sports funding for the 2026 Olympics and Paralympics in Milan after its most successful Games at Beijing.
1",,,,1,[],https://twitter.com/ReutersSports/status/1567773512307204096
CBC British Columbia,@cbcnewsbc,2022-09-09T23:03:00.000Z,"CBC British Columbia
@cbcnewsbc
·
Sep 10, 2022","The International Olympic Committee's decision on a host for the 2030 Winter Olympics and Paralympics — for which B.C. could be in the running — has been delayed until at least September 2023.
cbc.ca
IOC decision on 2030 Olympic host postponed until at least September 2023 | CBC Sports
The International Olympic Committee's decision on a host for the 2030 Winter Olympics and Paralympics has been delayed until at least September 2023.
1
9",,,1,9,[],https://twitter.com/cbcnewsbc/status/1568374440412708865
Ben Steiner,@BenSteiner00,2022-09-09T20:55:19.000Z,"Ben Steiner
@BenSteiner00
·
Sep 10, 2022","OLYMPICS: The IOC has announced that they will not determine hosts for the 2030 Winter Olympics and Paralympics until September 2023. 

The initial plan was to announce the host at the IOC meting in Mumbai early next year. 

BC among the 2030 candidates.
1
14",,,1,14,[],https://twitter.com/BenSteiner00/status/1568342310655606784
Australian Disability,@ausdisau,2022-09-09T11:51:04.000Z,"Australian Disability
@ausdisau
·
Sep 9, 2022
Automated","Winter Paralympics: The lowdown on being disabled in China - BBC
The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ausdisau/status/1568205342793945088
Australian Disability,@ausdisau,2022-09-09T22:28:34.000Z,"Australian Disability
@ausdisau
·
Sep 10, 2022
Automated","Switzerland vs Estonia | Wheelchair Curling Round Robin | Day 6 | Beijing 2022 Winter Paralympics
The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ausdisau/status/1568365774460551168
Australian Disability,@ausdisau,2022-09-09T18:53:33.000Z,"Australian Disability
@ausdisau
·
Sep 10, 2022
Automated","Great Britain vs Latvia | Wheelchair Curling Round Robin | Day 6 | Beijing 2022 Winter Paralympics
The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ausdisau/status/1568311665879547904
News18 Sports,@News18Sports,2022-09-09T11:47:12.000Z,"News18 Sports
@News18Sports
·
Sep 9, 2022","ITTF is hailing the tournament as the first international sports event in China since the Beijing Winter Olympics and Paralympics in February and March. The championships will be held in a ""closed-loop"" bubble to thwart infections

#ITTF #China
news18.com
Table Tennis Worlds Preparation at 'Full Steam' in Locked-down Chinese city of Chengdu
The sport's governing body the ITTF is hailing the tournament as the first international sports event in China since the Beijing Winter Olympics and Paralympics in February and March. Like the Games,...
1",,,,1,[],https://twitter.com/News18Sports/status/1568204369707028480
Alex H-M,@Pieford,2022-09-10T10:13:18.000Z,"Alex H-M
@Pieford
·
Sep 10, 2022","The Paddington thing with the obviously deepfaked Queen, plus the pageantry of the jubilee nobody really gave a shit about any more than a Winter Paralympics closing ceremony, has really shown how manufactured it all is.
1",,,,1,[],https://twitter.com/Pieford/status/1568543128688140291
VideoChinaTV,@videochinatv,2022-09-10T14:00:00.000Z,"VideoChinaTV
@videochinatv
·
Sep 10, 2022","The main media center for the #Beijing 2022 Winter #Olympics and #Paralympics is located in the China National Convention Center II. The outbreak of #COVID-19 has made the schedule very tight. How did they make it? https://youtu.be/QAThv_7JU0I via 
@YouTube
youtube.com
To Broadcast the Beijing Winter Olympics 为了北京冬奥会的转播
The main media center for the Beijing 2022 Winter Olympics and Paralympics will be located in the China National Convention Center II, which is under constru...",,,,,['https://pbs.twimg.com/card_img/1611445618106421248/QXYsPabK?format=jpg&name=small'],https://twitter.com/videochinatv/status/1568600177971273728
Australian Disability,@ausdisau,2022-09-11T01:43:33.000Z,"Australian Disability
@ausdisau
·
Sep 11, 2022
Automated","Zhang Mengqiu has won her second Para Alpine gold! | Beijing 2022 Winter Paralympics
The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ausdisau/status/1568777234349199360
Asia News Network,@asianewsnetwork,2022-09-12T11:46:59.000Z,"Asia News Network
@asianewsnetwork
·
Sep 12, 2022","Like the Olympics and Paralympics, the Deaflympics are held once every four years, with both summer and winter editions.   #Sports #Japan #TheJapanNews
asianews.network
Japan to bid to host 2025 Deaflympics
Like the Olympics and Paralympics, the Deaflympics are held once every four years, with both summer and winter editions.",,,,,[],https://twitter.com/asianewsnetwork/status/1569291480753225728
Ontario Track3 Adaptive Sports Association,@OntarioTrack3,2022-09-13T15:54:05.000Z,"Ontario Track3 Adaptive Sports Association
@OntarioTrack3
·
Sep 13, 2022","#DYK The first ever Winter Paralympics began in 1976 in Örnsköldsvik, Sweden? 

That’s 4 years following Track3’s development in 1972. 
#Wearethatold #50andfabulous #track3is50 #adaptivesports 

https://en.m.wikipedia.org/wiki/Winter_Paralympic_Games…
2",🤯,,,2,['https://pbs.twimg.com/media/FcjAbRTWAAE6oAi?format=jpg&name=medium'],https://twitter.com/OntarioTrack3/status/1569716051813834754
ÍF,@ifsportisl,2022-09-13T09:38:10.000Z,"ÍF
@ifsportisl
·
Sep 13, 2022","Beijing 2022 Winter Paralympics kyndillinn afhentur Rúmfatalagernum https://hvatisport.is/if-afhenti-rumfatalagernum-paralympic-kyndilinn-2022/… #ParaSport
hvatisport.is
ÍF afhenti Rúmfatalagernum Paralympic-kyndilinn 2022 - Hvati
Íþróttasamband fatlaðra og Rúmfatalagerinn hafa átt í öflugu samstarfi í hart nær þrjá áratugi. Rúmfatalagerinn er einn helsti samstarfs- og styrktaraðili ÍF. Nýverið fóru fulltrúar ÍF til fundar við...
1",,,,1,['https://pbs.twimg.com/card_img/1611044998379618306/Ps-ZbvO_?format=jpg&name=360x360'],https://twitter.com/ifsportisl/status/1569621451283759104
スノーボード最新ニュース,@snowboard__news,2022-09-14T14:05:35.000Z,"スノーボード最新ニュース
@snowboard__news
·
Sep 14, 2022","Six-time snowboard gold medalist Brenna Huckaby allowed to compete at Beijing Winter Paralympics, German court rules - ESPN
espn.com
Court: Huckaby OK'd for Beijing Paralympics
Six-time gold medalist Brenna Huckaby will be allowed to compete in the Beijing Winter Paralympics, a German court ruled on Thursday.",,,,,['https://pbs.twimg.com/card_img/1612215584095342594/k4aoB8wH?format=jpg&name=medium'],https://twitter.com/snowboard__news/status/1570051133502287873
insidethegames,@insidethegames,2022-09-14T21:37:16.000Z,"insidethegames
@insidethegames
·
Sep 15, 2022","#MilanCortina2026 President Giovanni Malagò said the Organising Committee was ""honoured"" to enter an agreement with #RandstadItalia to become its human resources partner

http://ow.ly/hLWv50KJHI4 #WinterOlympics #WinterParalympics
insidethegames.biz
Randstad Italia becomes Milan Cortina 2026's second partner
The Milan Cortina 2026 Winter Olympics and Paralympics Organising Committee has named human resource firm Randstad Italia as its second partner.
1",,,1,,['https://pbs.twimg.com/card_img/1609866495844286464/oz_3bFEF?format=jpg&name=medium'],https://twitter.com/insidethegames/status/1570164805113380865
U.S. Paralympics Alpine Skiing,@USParaAlpineSki,2022-09-17T20:15:30.000Z,"U.S. Paralympics Alpine Skiing
@USParaAlpineSki
·
Sep 18, 2022","“My perspective is that I can do it, and I will do it. I know what it takes. I just have to not give up.”

After a crash kept him out of much of the #WinterParalympics, 
@Andrew_Kurka
 is ready for his greatest comeback yet.

: https://go.teamusa.org/3QQRf8O
ALT
1
8",📰,,1,8,['https://pbs.twimg.com/media/FcuKtqMagAIcl8b?format=jpg&name=medium'],https://twitter.com/USParaAlpineSki/status/1571231390527528966
Sportcal,@sportcal,2022-09-21T13:13:46.000Z,"Sportcal
@sportcal
·
Sep 21, 2022","Deloitte Italia (
@DeloitteItalia
), the Italian arm of professional services firm 
@Deloitte
, has secured domestic #sponsorship rights to the 2026 Winter 
@Olympics
 and 
@Paralympics
 in Milan and Cortina (
@milanocortina26
).

#sportsbiz #partnership #deal
sportcal.com
Deloitte Italia strikes sponsorship deal for Milan-Cortina 2026
The new four-year deal adds to Deloitte’s 10-year TOP sponsorship deal with the IOC.
1",,,,1,[],https://twitter.com/sportcal/status/1572574810378739713
PressReleasePoint,@prpnews,2022-09-22T13:21:53.000Z,"PressReleasePoint
@prpnews
·
Sep 22, 2022",https://tinyurl.com/2euyshkx BMC TV taps ADVA to transmit Winter Paralympics to UK,,,,,[],https://twitter.com/prpnews/status/1572939240950071298
mikey,@mikey_747,2022-09-24T14:19:12.000Z,"mikey
@mikey_747
·
Sep 24, 2022","Me watching the Winter Paralympics:
.
@_TheBaldEagle__
·
Sep 24, 2022
Why does that autist always wear 3 layers of clothing?",,,,,['https://pbs.twimg.com/profile_images/1611992761779064833/pZtN1ayr_normal.jpg'],https://twitter.com/mikey_747/status/1573678442947776513
